,Name,Icon URL,Average User Rating,User Rating Count,Price,In-app Purchases,Genres,Image
0,Sudoku,https://is2-ssl.mzstatic.com/image/thumb/Purple127/v4/7d/23/c6/7d23c660-aba8-308a-05c0-19385a377c0e/source/512x512bb.jpg,4.0,3553.0,2.99,,"Games, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
1,Reversi,https://is4-ssl.mzstatic.com/image/thumb/Purple128/v4/f7/e8/10/f7e810c8-72b4-cd85-e2d3-fbcb1e3ef381/source/512x512bb.jpg,3.5,284.0,1.99,,"Games, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
2,Morocco,https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/98/b2/41/98b241cc-29b7-5f67-0060-1e030f35562f/source/512x512bb.jpg,3.0,8376.0,0.0,,"Games, Board, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
3,Sudoku (Free),https://is3-ssl.mzstatic.com/image/thumb/Purple117/v4/64/da/aa/64daaaa4-40b5-9e9f-9d60-b936b5d2f3ca/source/512x512bb.jpg,3.5,190394.0,0.0,,"Games, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
4,Senet Deluxe,https://is1-ssl.mzstatic.com/image/thumb/Purple118/v4/ab/2d/cf/ab2dcfe6-2178-6f74-2d42-0b6db66fc7e0/source/512x512bb.jpg,3.5,28.0,2.99,,"Games, Strategy, Board, Education",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
5,Sudoku - Classic number puzzle,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/69/92/8a/69928a8c-fbb4-a973-8e19-75dabba0c6a1/source/512x512bb.jpg,3.0,47.0,0.0,1.99,"Games, Entertainment, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
6,Gravitation,https://is5-ssl.mzstatic.com/image/thumb/Purple/v4/02/c3/17/02c317af-53ad-75f0-e375-4271ff271deb/source/512x512bb.jpg,2.5,35.0,0.0,,"Games, Entertainment, Puzzle, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
7,Colony,https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/03/be/82/03be82a1-8a91-7610-f60d-4b1c51ca12a8/source/512x512bb.jpg,2.5,125.0,0.99,,"Games, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
8,Carte,https://is3-ssl.mzstatic.com/image/thumb/Purple128/v4/44/21/9d/44219d29-94e1-3ccd-59dc-ab9c81b8b18a/source/512x512bb.jpg,2.5,44.0,0.0,,"Games, Strategy, Board, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
9,"""Barrels O' Fun""",https://is4-ssl.mzstatic.com/image/thumb/Purple/v4/4a/b8/cd/4ab8cd35-6025-ccba-bb8b-44882dda46c2/source/512x512bb.jpg,2.5,184.0,0.0,,"Games, Casual, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
11,Lumen Lite,https://is1-ssl.mzstatic.com/image/thumb/Purple71/v4/b9/ab/5a/b9ab5a52-aea9-fc5c-02f6-2e892192d3c8/source/512x512bb.jpg,3.5,5072.0,0.0,,"Games, Puzzle, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
12,BubblePop,https://is2-ssl.mzstatic.com/image/thumb/Purple/v4/78/f2/6e/78f26eab-13c6-67dd-25ce-f40ce97f16d2/source/512x512bb.jpg,3.0,526.0,0.0,,"Games, Strategy, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
